268	601628	中国人寿
269	601633	长城汽车
270	601668	中国建筑
271	601669	中国电建
272	601688	华泰证券
273	601718	际华集团
274	601727	上海电气
275	601766	中国中车
276	601788	光大证券
277	601800	中国交建
278	601818	光大银行
279	601857	中国石油
280	601866	中远海发
281	601872	招商轮船
282	601877	正泰电器
283	601881	中国银河
284	601888	中国国旅
285	601899	紫金矿业
286	601901	方正证券
287	601919	中远海控
288	601933	永辉超市
289	601939	建设银行
290	601958	金钼股份
291	601966	玲珑轮胎
292	601985	中国核电
293	601988	中国银行
294	601989	中国重工
295	601992	金隅股份
296	601997	贵阳银行
297	601998	中信银行
298	603160	汇顶科技
299	603858	步长制药
300	603993	洛阳钼业
