002008.SZ,1.500000e-01,002241.SZ,600522.SH,000538.SZ
002310.SZ,8.470224e-02,000725.SZ,600588.SH,000008.SZ
002714.SZ,1.500000e-01,002385.SZ,600373.SH,300133.SZ
300059.SZ,1.032566e-01,300033.SZ,002202.SZ,000750.SZ
300072.SZ,6.169099e-02,300070.SZ,600436.SH,600887.SH
600276.SH,3.151149e-02,600436.SH,300070.SZ,600519.SH
600446.SH,1.049683e-01,000938.SZ,600109.SH,600718.SH
600588.SH,1.500000e-01,300017.SZ,000008.SZ,002310.SZ
601611.SH,8.409008e-02,601718.SH,600827.SH,600820.SH
601881.SH,7.978035e-02,601788.SH,601377.SH,600909.SH
